bar,date,price,dcl_conf,dcl_days,wcl_conf,wcl_days,translation,trans_pct,phase,in_dcl_zone,in_wcl_zone,bias,confidence
70,2025-08-05,114126.9,unconfirmed,11,confirmed,44,left_translated,13.0,accumulation,False,True,LONG,70.0
80,2025-08-15,117338.56,unconfirmed,12,confirmed,54,mid_translated,47.8,markup,False,False,LONG,60.0
90,2025-08-25,110119.21,cancelled,22,confirmed,64,mid_translated,47.8,markdown,True,False,SHORT,60.0
100,2025-09-04,110736.09,cancelled,32,confirmed,74,mid_translated,47.8,distribution,False,False,SHORT,65.0
110,2025-09-14,115289.61,unconfirmed,13,unconfirmed,13,mid_translated,47.8,distribution,False,False,SHORT,65.0
120,2025-09-24,113308.74,confirmed,23,unconfirmed,23,right_translated,73.9,markup,True,False,LONG,75.0
130,2025-10-04,122408.08,unconfirmed,8,confirmed,33,left_translated,30.4,distribution,False,True,SHORT,80.0
140,2025-10-14,113042.12,unconfirmed,18,unconfirmed,43,mid_translated,43.5,markdown,True,True,SHORT,60.0
150,2025-10-24,111016.94,unconfirmed,7,unconfirmed,14,left_translated,17.4,distribution,False,False,SHORT,80.0
160,2025-11-03,106583.03,unconfirmed,17,unconfirmed,24,mid_translated,43.5,markdown,True,False,SHORT,60.0
170,2025-11-13,99688.0,unconfirmed,9,cancelled,34,left_translated,30.4,accumulation,False,True,LONG,70.0
180,2025-11-23,86837.14,cancelled,19,cancelled,44,left_translated,30.4,markdown,True,True,SHORT,75.0
190,2025-12-03,93438.15,unconfirmed,12,unconfirmed,12,mid_translated,52.2,distribution,False,False,SHORT,65.0
200,2025-12-13,90243.0,unconfirmed,12,unconfirmed,22,left_translated,34.8,markup,False,False,NEUTRAL,50.0
210,2025-12-23,87490.0,unconfirmed,5,confirmed,32,left_translated,17.4,markup,False,True,NEUTRAL,50.0
220,2026-01-02,89987.72,confirmed,15,confirmed,42,right_translated,65.2,distribution,True,True,NEUTRAL,50.0
230,2026-01-12,91296.15,confirmed,25,confirmed,52,right_translated,78.3,markup,True,False,LONG,75.0
240,2026-01-22,89549.99,confirmed,35,confirmed,62,right_translated,117.4,distribution,False,False,NEUTRAL,50.0
250,2026-02-01,76962.14,cancelled,45,cancelled,72,right_translated,117.4,distribution,False,False,NEUTRAL,50.0
260,2026-02-11,67072.95,unconfirmed,5,cancelled,55,left_translated,8.7,markup,False,False,NEUTRAL,50.0
270,2026-02-21,67975.0,unconfirmed,9,unconfirmed,15,left_translated,13.0,markup,False,False,NEUTRAL,50.0
280,2026-03-03,68325.25,unconfirmed,7,unconfirmed,25,left_translated,26.1,distribution,False,False,SHORT,80.0
290,2026-03-13,70930.41,unconfirmed,5,confirmed,35,left_translated,21.7,markup,False,True,NEUTRAL,50.0
