timestamp,direction,gap_bottom,gap_top,gap_size,gap_atr,atr_value,mid_overlap,mid_c1_body,displacement_body
2026-03-12 14:30:00,bearish,0.09455,0.09486,0.00031,0.35417,0.000875,1.0,2.4194,0.00069
2026-03-12 14:45:00,bearish,0.09422,0.09439,0.00017,0.19204,0.000885,1.0,4.0588,0.00011
2026-03-12 19:30:00,bullish,0.09418,0.09429,0.00011,0.19872,0.000554,1.0,3.2727,2e-05
2026-03-12 20:30:00,bearish,0.09433,0.09434,1e-05,0.02284,0.000438,1.0,23.0,0.00013
2026-03-12 22:00:00,bullish,0.09425,0.09459,0.00034,0.92347,0.000368,1.0,1.3235,0.00016
2026-03-12 22:45:00,bearish,0.0945,0.09452,2e-05,0.06204,0.000322,1.0,7.5,6e-05
2026-03-12 23:15:00,bullish,0.0945,0.09486,0.00036,0.86837,0.000415,1.0,1.9444,0.00015
2026-03-13 00:15:00,bullish,0.09488,0.09542,0.00054,0.81331,0.000664,1.0,1.3519,0.00138
2026-03-13 00:30:00,bullish,0.09545,0.0968,0.00135,1.81918,0.000742,1.0,1.0222,1e-05
2026-03-13 02:15:00,bearish,0.09677,0.09697,0.0002,0.31999,0.000625,1.0,1.85,0.0004
2026-03-13 02:30:00,bearish,0.09634,0.09662,0.00028,0.45527,0.000615,1.0,1.4286,0.00036
2026-03-13 02:45:00,bearish,0.09612,0.09615,3e-05,0.05105,0.000588,1.0,12.0,2e-05
2026-03-13 04:00:00,bullish,0.09634,0.09644,0.0001,0.18167,0.00055,1.0,6.2,0.00028
2026-03-13 05:30:00,bullish,0.09624,0.09628,4e-05,0.0806,0.000496,1.0,11.75,0.00039
2026-03-13 05:45:00,bullish,0.09639,0.09651,0.00012,0.25382,0.000473,1.0,3.25,0.00021
2026-03-13 08:45:00,bullish,0.09657,0.09701,0.00044,0.8251,0.000533,1.0,2.2955,0.00019
2026-03-13 09:45:00,bullish,0.09784,0.09848,0.00064,1.07813,0.000594,1.0,1.1719,0.00014
2026-03-13 12:45:00,bullish,0.10051,0.10057,6e-05,0.06381,0.00094,1.0,12.8333,0.00021
2026-03-13 14:45:00,bearish,0.09872,0.09984,0.00112,1.05841,0.001058,1.0,1.0089,0.00097
2026-03-13 15:00:00,bearish,0.09862,0.09867,5e-05,0.04742,0.001054,1.0,19.4,0.00086
2026-03-13 17:30:00,bearish,0.0969,0.09737,0.00047,0.57129,0.000823,1.0,1.234,0.00052
2026-03-13 17:45:00,bearish,0.0964,0.0967,0.0003,0.37022,0.00081,1.0,1.7333,0.00029
2026-03-13 19:00:00,bearish,0.09594,0.09605,0.00011,0.17271,0.000637,1.0,3.0,7e-05
2026-03-13 20:15:00,bullish,0.09619,0.09625,6e-05,0.12498,0.00048,1.0,6.8333,0.00013
2026-03-13 21:00:00,bullish,0.09644,0.09646,2e-05,0.05113,0.000391,1.0,4.5,0.00014
