method,direction,high,low,timestamp,displacement_atr,volume_spike,wick_ratio,grade,mitigation,freshness
rejection,bearish,70304.3,70214.73999999999,2026-03-21 23:00:00,20.992,False,0.15,A,0.10908887896385375,48.576597057680296
rejection,bearish,70224.51,70173.325,2026-03-21 23:15:00,20.086,True,2.46,A,0.5611995701867174,48.928603104385004
rejection,bearish,70378.51,70321.43,2026-03-21 22:30:00,19.533,False,4.32,A,0.0,47.88016403492868
rejection,bearish,74202.95,74029.58,2026-03-18 10:30:00,8.167,False,0.1,A,0.2624444828978556,4.2320485841777895
rejection,bearish,74009.86,73784.15,2026-03-18 11:15:00,7.476,False,0.18,A,0.0,4.324718381136975
rejection,bearish,74075.08,73897.20999999999,2026-03-18 11:00:00,7.221,True,7.06,A,0.633327711249803,4.293605148306527
rejection,bearish,70159.0,69357.32,2026-03-21 23:45:00,6.441,True,0.0,A,0.2858372417922315,49.640286024563444
structural,bearish,71614.96,71394.615,2026-03-19 03:15:00,6.053,False,,A,0.6477796183258064,6.865062507683042
rejection,bearish,68494.89,68379.435,2026-03-22 20:15:00,5.763,False,15.93,A,0.7523710536573031,89.73545375015536
structural,bearish,69008.48,68904.22,2026-03-22 15:15:00,5.33,False,,A,0.016401304431152283,77.66931603923527
rejection,bearish,69243.58,69184.795,2026-03-22 07:00:00,5.22,False,7.42,A,0.2640979841797705,61.20267716523276
rejection,bearish,69181.83,69052.42,2026-03-22 07:30:00,4.501,False,0.01,A,0.2980449733405915,62.0928906036742
rejection,bearish,73606.88,73197.185,2026-03-18 11:30:00,4.362,True,0.05,A,0.0,4.356057073278124
structural,bearish,71999.0,71788.5,2026-03-18 18:00:00,4.053,False,,A,0.3938242280284759,5.2556025953357155
rejection,bearish,69090.99,68992.57,2026-03-22 07:45:00,3.685,False,4.02,A,0.16165413533823636,62.54284128514978
rejection,bearish,68741.11,68537.31,2026-03-22 18:30:00,3.579,False,0.2,A,0.43871442590776355,85.31275352613427
rejection,bearish,71359.9,71072.62,2026-03-20 08:00:00,3.516,True,0.23,A,0.7497911445280201,15.749013123685915
rejection,bearish,68850.85,68802.96,2026-03-22 17:15:00,3.491,False,3.05,A,0.752557945291168,82.28777390769825
rejection,bearish,70762.97,70681.10500000001,2026-03-21 15:30:00,3.367,True,2.13,A,0.045623892994398764,39.11606996019435
rejection,bearish,70938.46,70760.715,2026-03-21 14:45:00,3.235,True,0.01,A,0.01268671411294006,38.277893241714125
rejection,bearish,71847.4,71657.975,2026-03-18 18:30:00,2.869,False,2.16,A,0.0,5.332047095383392
rejection,bearish,72817.54,72559.18,2026-03-18 12:30:00,2.664,True,0.0,A,0.0,4.4836992884718745
bos_linked,bearish,70684.84,70655.42499999999,2026-03-21 15:45:00,2.575,False,,A,0.0,39.39952112769716
rejection,bearish,68626.72,68450.23000000001,2026-03-22 19:00:00,2.489,True,0.05,A,0.2530454983284679,86.5536561006143
rejection,bearish,74671.08,74553.295,2026-03-18 03:30:00,2.424,False,4.17,A,0.0,3.4574047902776033
